

 BMW,deal, Toyota,BMW has agreed to supply Toyota with diesel engines for some of the Japanese carmaker’s European vehicles in a deal that could pave the way for broader co-operation between the two companies.

 BMW,supply, Toyota,BMW has agreed to supply Toyota with diesel engines for some of the Japanese carmaker’s European vehicles in a deal that could pave the way for broader co-operation between the two companies.

 BMW,deal, Carbon Motors,BMW signed a deal in 2010 with US-company Carbon Motors to supply diesel engines for a new fleet of police cars and a few months later the Munich-based carmaker agreed to supply engines to Saab.

 BMW,deal, Saab,BMW signed a deal in 2010 with US-company Carbon Motors to supply diesel engines for a new fleet of police cars and a few months later the Munich-based carmaker agreed to supply engines to Saab.

 BMW,deal, Fisker Automotive,This year BMW added an engine-supply deal with Fisker Automotive. “Toyota has a wealth of experience to offer when it comes to battery technology” said Ian Robertson BMW’s board member for sales and marketing head. “And the BMW Group has long been at the forefront developing some of the most technologically advanced clean diesel engines available.”

 Prevent Group,supply, Daimler,Prevent Group is separately involved in legal action concerning the supply of seat covers to Daimler.

 Toyota,supply, Toyotetsu,Toyota supplier Toyotetsu expanding in Ontario to supply new Lexus RAV4

 Hyundai Mobis,supply, Genesis Motors,Hyundai Mobis Technical Centre India has tied-up with Tata Elxsi to develop a simulation tool that will play a key role in development of driverless cars. Hyundai Mobis is a public South Korean car parts company which is the parts and service division of Hyundai Motors and also supply parts to Hyundai owned Genesis Motors and Kia Motors. The South Korean brand has formed partnership with Tata Elxsi to develop a synthetic scene generator tool. The tool that will be developed with the expertise of both the companies is claimed that can deal every real world scenario a vehicle could encounter.

 LG,deal, Tata Motors,According to industry sources LG's vehicle components division has signed a deal with Tata Motors to supply the frame molds.

 SAP,acquire, Qualtrics,1. SAP acquires Qualtrics for $8 billion

 SAP,acquire, Qualtrics,1. SAP acquires Qualtrics for $8 billion

 Oracle,acquire, Talari Networks,Oracle announced on 15 November that it had agreed to acquire SD-WAN specialist vendor Talari Networks. The Silicon Valley-based company focuses on Software-Defined Wide Area Network (SD-WAN) a modern way of connecting enterprise networks.

 IBM,buy, Red Hat,4. IBM is buying Red Hat for $33 billion

 IBM,buy, Red Hat,4. IBM is buying Red Hat for $33 billion

 Twilio,acquire, SendGrid,In October 2018 cloud communications platform Twilio announced it would be acquiring SendGrid a leading email API platform in a $2 billion deal. Both companies are targeted towards developers offering APIs to help seamlessly incorporate communications channels into their apps.

 Cisco,acquire, Duo Security,Cisco acquires Duo Security for $2.35 billion

 Cisco,acquire, Duo Security,Cisco acquires Duo Security for $2.35 billion

 AT&T,acquire, AlienVault,AT&T acquires AlienVault

 AT&T,acquire, AlienVault,AT&T acquires AlienVault

 AT&T,acquisition, AlienVault,AT&T completed the acquisition of cybersecurity vendor AlienVault in August.

 Salesforce,buy, Datorama,Salesforce has signed an agreement to buy Datorama a cloud-based AI-powered marketing intelligence and analytics platform that companies including Unilever and PepsiCo use to manage their marketing data across campaigns and channels.

 Broadcom,buy, CA Technologies,Broadcom has agreed to buy CA Technologies for $18.9 billion (£14.3 billion) in cash.

 SolarWinds,acquire, Trusted Metrics,SolarWinds acquires Trusted Metrics

 SolarWinds,acquire, Trusted Metrics,SolarWinds acquires Trusted Metrics

 SolarWinds,acquire, Trusted Metrics,Monitoring software maker SolarWinds acquired North Carolina-based Trusted Metrics in July which specialises in real-time security monitoring software. The financial terms of the deal weren't announced.

 SolarWinds,acquire, Trusted Metrics,Monitoring software maker SolarWinds acquired North Carolina-based Trusted Metrics in July which specialises in real-time security monitoring software. The financial terms of the deal weren't announced.

 Microsoft,acquire, Bonsai,Microsoft acquires Bonsai

 Microsoft,acquire, Bonsai,Microsoft acquires Bonsai

 Splunk,acquire, VictorOps,Machine data specialist Splunk acquired VictorOps for $120 million in cash and Splunk securities in June.

 Splunk,acquire, VictorOps,Machine data specialist Splunk acquired VictorOps for $120 million in cash and Splunk securities in June.

 Microsoft,acquire, GitHub,Microsoft acquires GitHub

 Microsoft,acquire, GitHub,Microsoft acquires GitHub

 Microsoft,acquire, GitHub,Microsoft has reached an agreement to acquire GitHub for $7.5 billion in Microsoft stock. Nat Friedman the former CEO of Xamarin - another Microsoft acquisition - will take over as GitHub CEO while GitHub cofounder Chris Wanstrath will join Microsoft as a technical fellow. 

 Adobe,acquire, Magento,Adobe have "announced their intent" to acquire ecommerce company Magento in a deal worth around $1.7 billion.

 Microsoft,acquire, Semantic Machines,Microsoft acquires Semantic Machines

 Microsoft,acquire, Semantic Machines,Microsoft acquires Semantic Machines

 Microsoft,acquire, Semantic Machines,Microsoft acquired AI startup Semantic Machines in May 2018.

 Microsoft,acquire, Semantic Machines,Microsoft acquired AI startup Semantic Machines in May 2018.

 Oracle,acquire, Datascience.com,Oracle announced that it had agreed to acquire Datascience.com in May.

 Google,acquisition, Kaggle,This follows Google's acquisition of data science portal Kaggle last year as the big cloud vendors look to place themselves at the heart of the data science community.

